system,group_type,group,n_sample,n_hazard,n_safe,sensitivity,sensitivity_ci_lower,sensitivity_ci_upper,specificity,specificity_ci_lower,specificity_ci_upper
Constellation_Multilog_new,gender,unknown,2000,165,1835,0.7151515151515152,0.642000035154649,0.7785124451819506,0.7313351498637602,0.7105857158614804,0.7511180002171638
Constellation_Multilog_new,race,unknown,2000,165,1835,0.7151515151515152,0.642000035154649,0.7785124451819506,0.7313351498637602,0.7105857158614804,0.7511180002171638
Guardrail_new,gender,unknown,2000,165,1835,0.6606060606060606,0.5854351636203324,0.7284685188844532,0.7307901907356948,0.7100289460139335,0.7505871288018635
Guardrail_new,race,unknown,2000,165,1835,0.6606060606060606,0.5854351636203324,0.7284685188844532,0.7307901907356948,0.7100289460139335,0.7505871288018635
LogReg_TFIDF_new,gender,unknown,2000,165,1835,0.5696969696969697,0.4934106985631072,0.6428116542219884,0.7313351498637602,0.7105857158614804,0.7511180002171638
LogReg_TFIDF_new,race,unknown,2000,165,1835,0.5696969696969697,0.4934106985631072,0.6428116542219884,0.7313351498637602,0.7105857158614804,0.7511180002171638
XGBoost_SBERT_new,gender,unknown,2000,165,1835,0.6727272727272727,0.5979114621983097,0.7396830642691011,0.7346049046321526,0.7139271534128095,0.754302410242918
XGBoost_SBERT_new,race,unknown,2000,165,1835,0.6727272727272727,0.5979114621983097,0.7396830642691011,0.7346049046321526,0.7139271534128095,0.754302410242918
CQL_Controller_reward,gender,unknown,2000,165,1835,0.6181818181818182,0.5421606295799133,0.6888250990556836,0.7302452316076294,0.7094722149412406,0.7500562186117092
CQL_Controller_reward,race,unknown,2000,165,1835,0.6181818181818182,0.5421606295799133,0.6888250990556836,0.7302452316076294,0.7094722149412406,0.7500562186117092
